Star,RA,Dec
acamar,44.5653,-40.3047
achernar,24.4285,-57.2368
acrux,186.65,-63.0991
adhara,104.656,-28.9721
albireo,292.68,27.9597
aldebaran,68.9802,16.5093
alioth,193.507,55.9598
alkaid,206.885,49.3133
almach,30.9748,42.3297
alnair,332.058,-46.961
alnilam,84.0534,-1.20192
alphard,141.897,-8.6586
alphecca,233.672,26.7147
alpheratz,2.09692,29.0904
altair,297.696,8.86832
ankaa,6.57105,-42.306
antares,247.352,-26.432
arcturus,213.915,19.1824
atria,252.166,-69.0277
avior,125.628,-59.5095
bellatrix,81.2828,6.3497
betelgeuse,88.7929,7.40706
canopus,95.988,-52.6957
capella,79.1723,45.998
castor,113.649,31.8883
cor caroli,194.007,38.3184
deneb,310.358,45.2803
denebola,177.265,14.5721
diphda,10.8974,-17.9866
dubhe,165.932,61.751
elnath,81.573,28.6075
eltanin,269.152,51.4889
enif,326.046,9.87501
fomalhaut,344.413,-29.6222
gacrux,187.791,-57.1132
gienah,183.952,-17.5419
hadar,210.956,-60.373
hamal,31.7934,23.4624
kaus australis,276.043,-34.3846
kochab,222.676,74.1555
markab,346.19,15.2053
menkar,45.5699,4.08974
menkent,211.671,-36.37
merak,165.46,56.3824
miaplacidus,138.3,-69.7172
mirfak,51.0807,49.8612
mizar,200.981,54.9254
nunki,283.816,-26.2967
peacock,306.412,-56.7351
phact,84.9123,-34.0741
pollux,116.329,28.0262
procyon,114.825,5.22499
rasalhague,263.734,12.56
regulus,152.093,11.9672
rigel,78.6345,-8.20164
saiph,86.9391,-9.6696
schedar,10.1268,56.5373
delta capricorni,326.76,-16.1273
shaula,263.402,-37.1038
sirius,101.287,-16.7161
spica,201.298,-11.1613
suhail,136.999,-43.4326
vega,279.235,38.7837
polaris,37.9546,89.2641
